rider_id,rider_name,location_id,kite_id,brand,model,size_m2,price_usd,coverage_score,skill_score,weight_score,direction_score,gust_score,overall_score
RDR01,Ana Lima,LOC08,6,Duotone,Neo SLS,7.0,1635,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,64,North,Carve,7.0,1267,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,76,North,Reach,7.0,2160,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,187,Naish,Triad,7.0,1259,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,31,Cabrinha,Switchblade,7.0,1592,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,91,F-One,Breeze,7.0,1212,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,11,Duotone,Dice,7.0,1046,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,120,Core,XR7,7.0,2091,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,199,Naish,Slash,7.0,1472,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,251,Airush,Diamond,7.0,2179,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,226,Slingshot,Crisis,7.0,953,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,142,Core,Free,7.0,1859,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,240,Airush,Lift,7.0,1924,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,129,Core,Nexus,7.0,1005,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,65,North,Pulse,7.0,1842,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,45,Cabrinha,Nitro,7.0,1222,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,157,Ozone,Edge,7.0,1845,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,260,Airush,Razor,7.0,1737,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,53,Cabrinha,Contra,7.0,1797,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,190,Naish,Boxer,7.0,1441,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,236,Slingshot,RPX,7.0,1896,0.928,0.922,0.772,0.366,0.96,0.814
RDR01,Ana Lima,LOC08,113,F-One,Revolt,7.0,1471,0.925,0.919,0.772,0.366,0.96,0.813
RDR01,Ana Lima,LOC08,273,Reedin,Super Model,7.0,1386,0.925,0.919,0.772,0.366,0.96,0.813
RDR01,Ana Lima,LOC08,59,North,Orbit,7.0,2029,0.925,0.919,0.772,0.366,0.96,0.813
RDR01,Ana Lima,LOC08,150,Ozone,Enduro,7.0,975,0.925,0.919,0.772,0.366,0.96,0.813
RDR01,Ana Lima,LOC08,93,F-One,Breeze,8.0,1323,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,83,North,Neo,8.0,1912,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,197,Naish,Slash,8.0,1758,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,248,Airush,Ultra,8.0,1944,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,209,Slingshot,Code,8.0,1818,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,201,Naish,Hero,8.0,1831,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,225,Slingshot,Crisis,8.0,1778,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,179,Naish,Pivot,8.0,1607,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,182,Naish,Triad,8.0,2141,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,3,Duotone,Rebel SLS,8.0,1934,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,75,North,Reach,8.0,1292,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,108,F-One,Revolt,8.0,1777,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,36,Cabrinha,Drifter,8.0,1625,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,42,Cabrinha,Nitro,8.0,1896,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,99,F-One,Strike,8.0,1177,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,151,Ozone,Enduro,8.0,1562,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,220,Slingshot,Ghost,8.0,1663,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,239,Airush,Lift,8.0,1259,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,154,Ozone,Edge,8.0,1797,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,262,Airush,Razor,8.0,2042,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,106,F-One,Diablo,8.0,1121,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,164,Ozone,Reo,8.0,989,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,14,Duotone,Dice,8.0,1546,0.968,0.962,0.597,0.366,0.96,0.801
RDR01,Ana Lima,LOC08,109,F-One,Revolt,6.0,925,0.8,0.794,0.947,0.366,0.96,0.779
RDR01,Ana Lima,LOC08,34,Cabrinha,Drifter,6.0,2080,0.8,0.794,0.947,0.366,0.96,0.779
RDR01,Ana Lima,LOC08,121,Core,XR7,6.0,1604,0.8,0.794,0.947,0.366,0.96,0.779
RDR01,Ana Lima,LOC08,20,Duotone,Juice,9.0,1688,0.988,0.988,0.421,0.366,0.96,0.778
RDR01,Ana Lima,LOC08,185,Naish,Triad,9.0,1532,0.988,0.988,0.421,0.366,0.96,0.778
RDR01,Ana Lima,LOC08,265,Airush,Razor,9.0,1164,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,155,Ozone,Edge,9.0,1390,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,148,Ozone,Enduro,9.0,1557,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,141,Core,Free,9.0,2118,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,25,Duotone,Evo,9.0,1900,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,159,Ozone,Catalyst,9.0,1940,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,133,Core,Nexus,9.0,2120,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,102,F-One,Diablo,9.0,982,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,32,Cabrinha,Switchblade,9.0,914,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,246,Airush,Ultra,9.0,1535,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,205,Naish,Hero,9.0,2120,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,256,Airush,Origin,9.0,2035,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,9,Duotone,Neo SLS,9.0,1042,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,124,Core,Section,9.0,1466,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,238,Airush,Lift,9.0,1145,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,15,Duotone,Dice,9.0,2061,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,2,Duotone,Rebel SLS,9.0,965,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,135,Core,Riot,9.0,1441,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,55,North,Orbit,9.0,1477,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,189,Naish,Boxer,9.0,2041,0.986,0.986,0.421,0.366,0.96,0.777
RDR01,Ana Lima,LOC08,10,Duotone,Neo SLS,6.0,1376,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,105,F-One,Diablo,6.0,1655,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,247,Airush,Ultra,6.0,1056,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,85,North,Neo,6.0,1851,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,127,Core,Section,6.0,1159,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,267,Reedin,Super Model,6.0,1338,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,73,North,Reach,6.0,1515,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,56,North,Orbit,6.0,1316,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,203,Naish,Hero,6.0,2056,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,176,Naish,Pivot,6.0,1193,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,181,Naish,Triad,6.0,1710,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,66,North,Pulse,6.0,948,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,196,Naish,Slash,6.0,1829,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,143,Core,Free,6.0,1924,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,252,Airush,Diamond,6.0,1800,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,234,Slingshot,RPX,6.0,1341,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,163,Ozone,Catalyst,6.0,1580,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,24,Duotone,Evo,6.0,1230,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,40,Cabrinha,Moto,6.0,930,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,257,Airush,Origin,6.0,1558,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,218,Slingshot,Ghost,6.0,1666,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,54,Cabrinha,Contra,6.0,916,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,131,Core,Nexus,6.0,1210,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,215,Slingshot,Rally,6.0,1680,0.782,0.776,0.947,0.366,0.96,0.769
RDR01,Ana Lima,LOC08,255,Airush,Origin,10.0,2116,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,173,Ozone,Chrono,10.0,994,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,195,Naish,Boxer,10.0,1186,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,184,Naish,Triad,10.0,1413,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,8,Duotone,Neo SLS,10.0,1500,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,112,F-One,Revolt,10.0,2113,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,23,Duotone,Evo,10.0,2180,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,281,Reedin,Hyper Model,10.0,1667,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,275,Reedin,Expert Model,10.0,1682,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,80,North,Neo,10.0,1535,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,39,Cabrinha,Moto,10.0,1807,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,116,Core,XR7,10.0,1291,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,52,Cabrinha,Contra,10.0,1040,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,90,F-One,Bandit,10.0,1380,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,62,North,Carve,10.0,1624,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,12,Duotone,Dice,10.0,1234,0.98,0.98,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,266,Airush,Razor,10.0,2044,0.98,0.98,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,33,Cabrinha,Drifter,10.0,1894,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,208,Slingshot,Code,10.0,1977,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,202,Naish,Hero,10.0,943,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,271,Reedin,Super Model,10.0,1215,0.979,0.979,0.246,0.366,0.96,0.739
RDR01,Ana Lima,LOC08,160,Ozone,Catalyst,11.0,1596,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,43,Cabrinha,Nitro,11.0,1019,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,283,Reedin,Hyper Model,11.0,1867,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,178,Naish,Pivot,11.0,1489,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,26,Duotone,Evo,11.0,1390,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,7,Duotone,Neo SLS,11.0,1998,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,183,Naish,Triad,11.0,1621,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,67,North,Pulse,11.0,1042,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,38,Cabrinha,Moto,11.0,1275,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,269,Reedin,Super Model,11.0,1939,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,115,Core,XR7,11.0,2120,0.926,0.926,0.07,0.366,0.96,0.674
RDR01,Ana Lima,LOC08,153,Ozone,Enduro,11.0,1961,0.926,0.926,0.07,0.366,0.96,0.674
